"","state","gunown","relig","suicide","obesity","poverty","density"
"1","Alabama",51.7,56,14.65,29.6,16.1,94.4
"2","Alaska",57.8,31,22.99,28.4,10.9,1.2
"3","Arizona",31.1,36.6,17.28,26.8,18.8,56.3
"4","Arkansas",55.3,52,16.34,34.6,18.7,56
"5","California",21.3,34.5,9.99,24.1,15.9,239.1
"6","Colorado",34.7,33.5,19.55,21.3,11.9,48.5
"7","Connecticut",16.7,31,9.89,25,10.6,738.1
"8","Delaware",25.5,35.2,13.19,31.1,13.7,460.8
"9","Florida",24.5,38,14.32,26.4,15,350.6
"10","Georgia",40.3,58,11.65,30.3,17.6,168.4
"11","Hawaii",6.7,31,12.97,21.8,12.3,211.8
"12","Idaho",55.3,45.1,19.08,29.6,14.4,19
"13","Illinois",20.2,38,9.74,29.4,13.4,231.1
"14","Indiana",39.1,42.7,14.3,31.8,14.1,181
"15","Iowa",42.8,41.3,12.57,31.3,10.5,54.5
"16","Kansas",42.1,45.1,17.38,30,13.8,34.9
"17","Kentucky",47.7,45.4,16.17,33.2,18,109.9
"18","Louisiana",44.1,53,12.35,33.1,20.5,104.9
"19","Maine",40.5,24,14.64,28.9,12.8,43.1
"20","Maryland",21.3,36.7,9.4,28.3,9.8,594.8
"21","Massachusetts",12.6,27,8.63,23.6,11.3,839.4
"22","Michigan",38.4,36.5,12.48,31.5,14.4,174.8
"23","Minnesota",41.7,38.2,11.97,25.5,10.7,66.6
"24","Mississippi",55.3,58,13.96,35.1,20.6,63.2
"25","Missouri",41.7,42.1,14.8,30.4,14.8,87.1
"26","Montana",57.7,34,22.5,24.6,14.8,6.8
"27","Nebraska",38.6,44.2,12.49,29.6,11.2,23.8
"28","Nevada",33.8,31,18.17,26.2,16.2,24.6
"29","New Hampshire",30,23,14.15,26.7,8.3,147
"30","New Jersey",12.3,34.7,7.39,26.3,10.6,1195.5
"31","New Mexico",34.8,43.2,21.34,26.4,21.4,17
"32","New York",18,31.5,8.24,25.4,15.9,411.2
"33","North Carolina",41.3,49.5,12.65,29.4,17,196.1
"34","North Dakota",50.7,41.6,15.11,31,10.4,9.7
"35","Ohio",32.4,38.2,12.97,30.4,14.7,282.3
"36","Oklahoma",42.9,48,17.51,32.5,15.3,54.7
"37","Oregon",39.8,29,17.74,26.5,14.3,39.9
"38","Pennsylvania",34.7,39.5,12.37,30,13,283.9
"39","Rhode Island",12.8,29,9.5,27.3,13.5,1018.1
"40","South Carolina",42.3,52,13.65,31.7,17.2,153.9
"41","South Dakota",56.6,45.6,16.94,29.9,12.5,10.7
"42","Tennessee",43.9,50,14.57,33.7,17.7,153.9
"43","Texas",35.9,47,11.84,30.9,17.1,96.3
"44","Utah",43.9,56,21.01,24.1,10.1,33.6
"45","Vermont",42,19,13.13,24.7,10.5,67.9
"46","Virginia",35.1,41.1,12.59,27.2,10.8,202.6
"47","Washington",33.1,31,14.49,27.2,12,101.2
"48","West Virginia",55.4,41.9,17.11,35.1,17.2,77.1
"49","Wisconsin",44.4,36.7,12.29,29.8,11.8,105
"50","Wyoming",59.7,32.8,29.77,27.8,10.7,5.8
